,AO1,AO2,AO3,AOA1,AOA2,AOA6,AOA7,GBM11,GBM23,GBM24,GBM26,GBM3,GBM30,GBM9,GS2,JPA2,O4
LOC389831,0.76803730637243,-0.0680214367969684,1.0485832176195,1.12021182823035,-0.333036148590578,-0.462658739943814,-1.06264931731486,-0.523568555997985,-0.67536382067675,-1.06757266875969,-2.25212019684529,-1.08011091767129,-2.00244802053675,-0.998152418461903,-2.13447075520355,-0.246902588877718,0.8441821151156
AA975768,0.16703730637243,1.34697856320303,-0.224416782380501,-0.869788171769646,-0.0320361485905775,1.08334126005619,0.982350682685143,2.13543144400202,0.59563617932325,0.843427331240307,2.40287980315471,2.74388908232871,1.09055197946325,1.4858475815381,-0.536470755203553,1.08709741112228,-0.6968178848844
NOTCH1,2.09803730637243,3.14897856320303,2.9425832176195,3.83721182823035,1.59696385140942,1.52734126005619,1.93735068268514,1.77043144400202,2.03963617932325,2.25142733124031,0.221879803154709,0.454889082328715,-0.577448020536751,0.504847581538097,0.311529244796447,-0.123902588877718,2.4171821151156
MB,-0.328962693627569,0.518978563203032,0.060583217619499,-1.89978817176965,0.903963851409423,0.596341260056186,-0.238649317314857,0.759431444002015,0.15163617932325,0.897427331240307,0.88787980315471,1.65288908232871,1.78555197946325,1.9708475815381,1.32052924479645,1.29409741112228,1.2021821151156
RAB30,-1.05796269362757,0.386978563203032,1.1425832176195,-3.66678817176965,-0.100036148590578,-2.37265873994381,-0.846649317314857,-2.28156855599798,-3.36936382067675,-1.79557266875969,-0.92512019684529,-5.29111091767129,-2.75644802053675,-4.7641524184619,-2.49147075520355,-3.58690258887772,2.3561821151156
FCGR2B,0.66303730637243,1.45572856320303,0.891583217619499,0.537211828230354,1.80046385140942,1.44009126005619,0.895350682685143,1.70593144400202,0.43063617932325,1.84392733124031,1.34237980315471,3.17838908232871,3.65730197946325,3.0420975815381,2.66527924479645,2.45434741112228,0.4796821151156
C4A,-0.36696269362757,2.31097856320303,0.0215832176194991,0.258211828230354,2.16096385140942,2.05734126005619,2.31535068268514,0.189431444002015,0.56063617932325,1.54634399790697,1.70787980315471,-0.313110917671285,1.47255197946325,0.651847581538097,3.07252924479645,4.03909741112228,0.5801821151156
FLJ38984,0.94903730637243,0.715978563203032,0.853583217619499,1.48421182823035,1.25396385140942,0.969341260056186,3.07535068268514,0.125431444002015,1.39063617932325,0.640427331240307,1.83187980315471,-0.294110917671285,-0.0414480205367508,0.531847581538097,-0.986470755203553,-0.398902588877718,0.9301821151156
PYGL,-1.12196269362757,-1.50302143679697,-1.0394167823805,-0.620788171769646,-0.659036148590577,-0.871658739943814,-1.37964931731486,-0.483568555997985,-1.49336382067675,-1.09657266875969,-0.63812019684529,-0.0521109176712854,0.393551979463249,0.442847581538097,-0.567470755203553,0.681097411122283,-1.2448178848844
SNRPN,1.82903730637243,-0.407021436796968,2.3745832176195,0.200211828230354,1.47896385140942,1.56834126005619,4.40135068268514,-1.02556855599798,0.40463617932325,1.63042733124031,1.89887980315471,-0.668110917671285,0.606551979463249,-0.154152418461903,0.430529244796447,-0.269902588877718,2.8301821151156
KNS2,1.39403730637243,0.999978563203032,1.6175832176195,1.45021182823035,1.80596385140942,1.18134126005619,1.34035068268514,1.05543144400202,1.52263617932325,0.482427331240307,1.29587980315471,-0.786110917671285,0.677551979463249,-0.032152418461903,-0.0284707552035526,0.394097411122282,1.8431821151156
