,AO3,AOA1,AOA3,AOA4,AOA6,AOA7,GBM1,GBM11,GBM15,GBM21,GBM24,GBM25,GBM28,GBM3,GBM31,GBM4,GBM5,GBM6,GBM9,GNN1,GS1,O1,O3,O4,O5,sGBM3
MGC42367,1.12252499918599,1.12993207883201,0.327002875292185,0.427967477062096,-0.0136165937343638,0.256029423964751,-0.183448452141443,1.01418871600015,0.995905530159441,0.119913668591806,0.324631193876256,0.552808185026698,0.8005692469736,0.336135618655017,0.596852432814309,0.676179866442627,1.10066659210634,0.217843583256787,-0.213563496389231,-0.0360059742653372,-0.938005974265337,0.928463052283335,1.00000287529218,0.819967477062096,0.195162167327583,0.039779740020377
OSR1,0.15452499918599,-0.387067921167992,0.246002875292185,-0.597032522937904,-0.513616593734364,0.319029423964751,0.122551547858557,-0.424811283999851,-0.0440944698405585,-0.308086331408194,-0.461368806123744,0.298808185026698,0.307569246973601,-0.184864381344983,-0.00314756718569123,-0.381820133557373,-0.549333407893656,-0.323156416743213,-0.115563496389231,-0.244005974265337,-0.00500597426533725,-0.121536947716665,-0.0209971247078151,0.582967477062097,-0.188837832672417,0.373779740020377
D21S2089E,-0.0194750008140098,-0.911067921167992,0.305002875292185,0.00396747706209639,-0.0206165937343638,-0.00597057603524875,-0.625448452141443,-0.44981128399985,-0.122094469840558,-0.337086331408194,-0.632368806123744,0.0308081850266982,-0.0484307530263992,-0.528864381344983,-0.534147567185691,-0.337820133557373,-0.311333407893656,0.526843583256787,-0.124563496389231,-0.147005974265337,-0.143005974265337,-0.105536947716665,-0.397997124707815,0.455967477062096,0.763162167327583,-0.403220259979623
HNRNPG.T,0.19752499918599,-1.09306792116799,-0.206997124707815,0.149967477062096,-0.314616593734364,-0.479970576035249,0.291551547858557,-0.290811283999851,-1.03309446984056,-0.258086331408194,-0.149368806123744,0.362808185026698,0.0265692469736008,-0.501864381344983,-0.143147567185691,-0.171820133557373,-0.278333407893656,-0.0751564167432134,0.317436503610769,-1.49300597426534,0.124994025734663,0.0184630522833353,-0.106997124707815,1.2119674770621,0.0981621673275831,0.747779740020377
AP4B1,-0.44347500081401,-0.793067921167992,-0.279997124707815,-0.486032522937904,-0.897616593734364,-0.100970576035249,0.357551547858557,-0.153811283999851,0.520905530159441,-0.534086331408194,0.209631193876256,-0.134191814973302,-0.139430753026399,0.325135618655017,-0.746147567185691,-0.122820133557373,-0.368333407893656,-0.591156416743213,-0.579563496389231,-0.118005974265337,-0.381005974265337,-1.19353694771666,-0.464997124707815,-0.785032522937903,-0.678837832672417,0.150779740020377
ZNF160,-0.18647500081401,0.206932078832008,-0.214997124707815,0.133967477062096,0.0953834062656362,0.358029423964751,0.0515515478585565,0.0341887160001495,0.702905530159442,0.245913668591806,0.0626311938762557,0.0728081850266982,-0.123430753026399,0.433135618655017,-0.0771475671856912,0.441179866442627,0.167666592106344,0.103843583256787,0.360436503610769,0.865994025734663,0.0499940257346628,-0.0835369477166647,0.0260028752921849,-0.401032522937904,0.0291621673275831,-0.319220259979623
LRBA,0.0955249991859902,-0.948067921167992,-1.01999712470782,-0.251032522937904,-2.11761659373436,-0.591970576035249,-0.0164484521414435,-0.59981128399985,-0.777094469840558,-0.332086331408194,-0.0763688061237443,-0.0901918149733018,-0.0674307530263992,0.176135618655017,-0.614147567185691,-0.621820133557373,-0.916333407893656,-0.707156416743213,-0.667563496389231,-0.195005974265337,-0.0570059742653372,-1.25153694771666,-0.829997124707815,0.0509674770620964,-0.612837832672417,0.270779740020377
LILRA1,-1.04147500081401,-0.465067921167992,-0.792997124707815,-0.128032522937904,-0.520616593734364,-0.311970576035249,-0.0804484521414434,-0.269811283999851,-1.35609446984056,-0.633086331408194,-0.303368806123744,-0.277191814973302,-0.750430753026399,0.0371356186550167,-0.485147567185691,-0.534820133557373,-0.368333407893656,-0.0481564167432134,-0.231563496389231,0.295994025734663,0.0259940257346628,-1.01853694771666,-0.599997124707815,-0.877032522937904,-0.482837832672417,-0.808220259979623
EGLN2,-0.0544750008140098,-0.520067921167992,0.119002875292185,0.107967477062096,0.108383406265636,-1.39897057603525,0.0565515478585565,0.54318871600015,-0.124094469840558,0.153913668591806,-0.259368806123744,-0.0131918149733018,0.212569246973601,-0.457864381344983,1.13485243281431,0.407179866442627,0.214666592106344,0.0548435832567866,-0.111563496389231,-0.282005974265337,-0.393005974265337,0.0624630522833353,0.00300287529218489,0.212967477062096,-0.0058378326724169,-0.151220259979623
BCAM,-0.0204750008140098,-0.476067921167992,-0.0899971247078151,-0.179032522937904,0.237383406265636,-0.356970576035249,0.690551547858557,-0.169811283999851,0.00390553015944151,0.635913668591806,-0.237368806123744,0.125808185026698,0.0725692469736008,-0.456864381344983,0.503852432814309,0.0211798664426274,-0.0293334078936558,0.441843583256787,0.046436503610769,-0.0910059742653372,0.240994025734663,0.562463052283335,-0.00299712470781511,0.571967477062096,0.0221621673275831,0.870779740020377
